nationality,year,number_of_permits
American,1978,96
Australian,1978,41
Austrian,1978,6
Belgian,1978,0
Brazilian,1978,0
British,1978,86
Canadian,1978,18
Chinese,1978,72
Columbian,1978,6
Danish,1978,7
Dutch,1978,14
Egyptian,1978,0
Finnish,1978,0
French,1978,19
German,1978,21
Hungarian,1978,0
Indian,1978,10
Indonesian,1978,0
Iranian,1978,0
Irish,1978,0
Israeli,1978,0
Italian,1978,25
Japanese,1978,289
Jordanian,1978,0
Korean,1978,0
Lebanese,1978,0
Malaysian,1978,0
Mexican,1978,0
New Zealander,1978,7
Nigerian,1978,0
Norwegian,1978,0
Pakistani,1978,0
Portuguese,1978,0
Russian,1978,0
Singaporean,1978,5
Spanish,1978,5
Sri Lankan,1978,0
Sudanese,1978,0
Swedish,1978,0
Swiss,1978,32
Taiwanese,1978,5
Thai ,1978,0
Other Nationalities,1978,43
American,1979,79
Australian,1979,58
Austrian,1979,0
Belgian,1979,11
Brazilian,1979,0
British,1979,104
Canadian,1979,21
Chinese,1979,157
Columbian,1979,0
Danish,1979,0
Dutch,1979,16
Egyptian,1979,0
Finnish,1979,0
French,1979,17
German,1979,29
Hungarian,1979,0
Indian,1979,30
Indonesian,1979,0
Iranian,1979,0
Irish,1979,0
Israeli,1979,0
Italian,1979,0
Japanese,1979,222
Jordanian,1979,0
Korean,1979,8
Lebanese,1979,0
Malaysian,1979,6
Mexican,1979,0
New Zealander,1979,6
Nigerian,1979,0
Norwegian,1979,0
Pakistani,1979,0
Portuguese,1979,0
Russian,1979,0
Singaporean,1979,15
Spanish,1979,0
Sri Lankan,1979,0
Sudanese,1979,0
Swedish,1979,0
Swiss,1979,25
Taiwanese,1979,6
Thai ,1979,0
Other Nationalities,1979,45
American,1980,84
Australian,1980,41
Austrian,1980,10
Belgian,1980,0
Brazilian,1980,7
British,1980,108
Canadian,1980,5
Chinese,1980,171
Columbian,1980,0
Danish,1980,5
Dutch,1980,8
Egyptian,1980,0
Finnish,1980,0
French,1980,11
German,1980,49
Hungarian,1980,0
Indian,1980,11
Indonesian,1980,0
Iranian,1980,0
Irish,1980,0
Israeli,1980,0
Italian,1980,8
Japanese,1980,222
Jordanian,1980,0
Korean,1980,16
Lebanese,1980,0
Malaysian,1980,0
Mexican,1980,5
New Zealander,1980,7
Nigerian,1980,0
Norwegian,1980,0
Pakistani,1980,0
Portuguese,1980,0
Russian,1980,0
Singaporean,1980,7
Spanish,1980,0
Sri Lankan,1980,0
Sudanese,1980,0
Swedish,1980,0
Swiss,1980,27
Taiwanese,1980,5
Thai ,1980,0
Other Nationalities,1980,47
American,1981,79
Australian,1981,17
Austrian,1981,10
Belgian,1981,0
Brazilian,1981,0
British,1981,72
Canadian,1981,11
Chinese,1981,219
Columbian,1981,0
Danish,1981,0
Dutch,1981,15
Egyptian,1981,0
Finnish,1981,0
French,1981,9
German,1981,31
Hungarian,1981,0
Indian,1981,13
Indonesian,1981,5
Iranian,1981,0
Irish,1981,0
Israeli,1981,0
Italian,1981,0
Japanese,1981,146
Jordanian,1981,0
Korean,1981,9
Lebanese,1981,0
Malaysian,1981,10
Mexican,1981,0
New Zealander,1981,0
Nigerian,1981,0
Norwegian,1981,0
Pakistani,1981,0
Portuguese,1981,0
Russian,1981,0
Singaporean,1981,7
Spanish,1981,0
Sri Lankan,1981,0
Sudanese,1981,0
Swedish,1981,0
Swiss,1981,17
Taiwanese,1981,64
Thai ,1981,0
Other Nationalities,1981,50
American,1982,75
Australian,1982,12
Austrian,1982,18
Belgian,1982,0
Brazilian,1982,0
British,1982,77
Canadian,1982,9
Chinese,1982,98
Columbian,1982,0
Danish,1982,0
Dutch,1982,8
Egyptian,1982,0
Finnish,1982,0
French,1982,15
German,1982,56
Hungarian,1982,0
